##@@&&$$$CLR {COM_GR_TOV} {NAL} {GR_NL} $$$ADD
#
210;;Моющие средства;;;;;;;;;;;;;;0;;
12333;;Горчица столовая дополнит. 20г;Горчица столовая дополнит. 20г;2.92;1000.000;;0;;;3;;0;;;;1;;0
11875;;Комплексный обед;Комплексный обед;150.00;1000.000;;0;;;3;;0;;;;1;;0
11956;;Банкет;Банкет;;1000.000;;0;;;3;;0;;;;1;;0
12586;;мешочек п/э;мешочек п/э;0.15;1000.000;;0;;;3;;0;;;;1;;0
12823;;Кетчуп порционный;Кетчуп порционный;3.00;1000.000;;0;;;3;;0;;;;1;;0
12589;;Контейнер большой;Контейнер большой;15.00;1000.000;;0;;;3;;0;;;;1;;0
12696;;Контейнер ркс-500;Контейнер ркс-500;9.00;1000.000;;0;;;3;;0;;;;1;;0
12737;;Контейнер РКС-350;Контейнер РКС-350;6.00;1000.000;;0;;;3;;0;;;;1;;0
12222;;Пакет майка;Пакет майка;1.50;1000.000;;0;;;3;;0;;;210;1;;0
12729;;Коробка 25*25;Коробка 25*25;20.00;1000.000;;0;;;3;;0;;;;1;;0
12730;;Коробка 33*33;Коробка 33*33;32.00;1000.000;;0;;;3;;0;;;;1;;0
12832;;Коробка 40*40;Коробка 40*40;35.00;1000.000;;0;;;3;;0;;;;1;;0
12655;;Ролл "Динамит" лосось, огурец (5 кусочков);Ролл "Динамит" лосось, огурец (5 кусочков);85.62;1000.000;;0;;;3;;0;;;;1;;0
12674;;Ролл "Калифорния" рис, краб пал, огурцы (8кус);Ролл "Калифорния" рис, краб пал, огурцы (8кус);62.14;1000.000;;0;;;3;;0;;;;1;;0
12766;;Ролл "Кани Хот спайс" 8 кус сыр, краб палочки, огурцы;Ролл "Кани Хот спайс" 8 кус сыр, краб палочки, огурцы;83.69;1000.000;;0;;;3;;0;;;;1;;0
12675;;Ролл "Крабика" рис, краб пал, лук зел (8кус);Ролл "Крабика" рис, краб пал, лук зел (8кус);21.19;1000.000;;0;;;3;;0;;;;1;;0
12679;;Ролл "Мехико" телапия, рис, лук зел. спайси (8 кус);Ролл "Мехико" телапия, рис, лук зел. спайси (8 кус);114.29;1000.000;;0;;;3;;0;;;;1;;0
12751;;Ролл "Микс" (лосось, телапия, краб палочки);Ролл "Микс" (лосось, телапия, краб палочки);121.36;1000.000;;0;;;3;;0;;;;1;;0
12677;;Ролл "Мусуюн" рис, сыр, помидор, курица (8 кус);Ролл "Мусуюн" рис, сыр, помидор, курица (8 кус);54.45;1000.000;;0;;;3;;0;;;;1;;0
12767;;Ролл "Натсу" 8 кус (лосось, телапия, сыр тв, огурцы);Ролл "Натсу" 8 кус (лосось, телапия, сыр тв, огурцы);177.73;1000.000;;0;;;3;;0;;;;1;;0
12657;;Ролл "Тори хот" сыр, огурец, курица (8 кусочков);Ролл "Тори хот" сыр, огурец, курица (8 кусочков);74.72;1000.000;;0;;;3;;0;;;;1;;0
12658;;Ролл "Пачи маки" телапия, сыр, огурец (8кус);Ролл "Пачи маки" телапия, сыр, огурец (8кус);106.53;1000.000;;0;;;3;;0;;;;1;;0
12660;;Ролл "Сяке маки" лосось (8кус);Ролл "Сяке маки" лосось (8кус);90.33;1000.000;;0;;;3;;0;;;;1;;0
12661;;Имбирь порц для суш;Имбирь порц для суш;4.56;1000.000;;0;;;3;;0;;;;1;;0
12662;;Васаби порц для суш;Васаби порц для суш;0.77;1000.000;;0;;;3;;0;;;;1;;0
12663;;Соевый соус порц для суш;Соевый соус порц для суш;10.85;1000.000;;0;;;3;;0;;;;1;;0
12672;;Ролл с огурцом (8кус);Ролл с огурцом (8кус);17.23;1000.000;;0;;;3;;0;;;;1;;0
12768;;Ролл "Самурай" 8кус (лосось, телапия, сыр);Ролл "Самурай" 8кус (лосось, телапия, сыр);156.64;1000.000;;0;;;3;;0;;;;1;;0
12769;;Ролл "Сяке Темпура" 8кус (жар) лосось, огурцы, сыр;Ролл "Сяке Темпура" 8кус (жар) лосось, огурцы, сыр;114.79;1000.000;;0;;;3;;0;;;;1;;0
12770;;Ролл "Хонсю маки" (жар) 8 кус сыр, краб палочки, огурцы;Ролл "Хонсю маки" (жар) 8 кус сыр, краб палочки, огурцы;58.98;1000.000;;0;;;3;;0;;;;1;;0
12771;;Ролл холодный "Цезарь ролл" 8кус курица, помидоры, листья салата, сыр;Ролл холодный "Цезарь ролл" 8кус курица, помидоры, листья салата, сыр;203.93;1000.000;;0;;;3;;0;;;;1;;0
12706;;Каша молочная рисовая с тыквой 200/10;Каша молочная рисовая с тыквой 200/10;34.55;1000.000;;0;;;3;;0;;;;1;;0
10453;;Каша молочная  "Артек" масло.слив. 150/10;Каша молочная  "Артек" масло.слив. 150/10;18.17;1000.000;;0;;;3;;0;;;;1;;0
12546;;Салат "Мясной";Салат "Мясной";33.23;1000.000;;0;;;3;;0;;;;1;;0
11334;;Салат "Русская красавица" (колбп/к.куры.помидор.огур.сол.сыр;Салат "Русская красавица" (колбп/к.куры.помидор.огур.сол.сыр;52.02;1000.000;;0;;;3;;0;;;;1;;0
11253;;Салат "Весенний",зелен. горошек 100/20;Салат "Весенний",зелен. горошек 100/20;34.76;1000.000;;0;;;3;;0;;;;1;;0
11268;;Салат "Греческий" разд;Салат "Греческий" разд;45.78;1000.000;;0;;;3;;0;;;;1;;0
11462;;Салат с кукурузой и шпротами.;Салат с кукурузой и шпротами.;38.62;1000.000;;0;;;3;;0;;;;1;;0
12040;;Рулетики (лаваш) с ветчиной 100гр;Рулетики (лаваш) с ветчиной 100гр;44.27;1000.000;;0;;;3;;0;;;;1;;0
11844;;Щи боярские,сметана.зелень,чеснок;Щи боярские,сметана.зелень,чеснок;33.39;1000.000;;0;;;3;;0;;;;1;;0
11948;;Солянка мясная;Солянка мясная;68.11;1000.000;;0;;;3;;0;;;;1;;0
11638;;Суп полевой,зелень.чеснок;Суп полевой,зелень.чеснок;24.95;1000.000;;0;;;3;;0;;;;1;;0
11792;;Цыплята табака в соевом соусе 100/5;Цыплята табака в соевом соусе 100/5;63.94;1000.000;;0;;;3;;0;;;;1;;0
10632;;Курица по-гавайски;Курица по-гавайски;75.44;1000.000;;0;;;3;;0;;;;1;;0
12482;;Куриная грудка с чесноком под сырной шапочкой;Куриная грудка с чесноком под сырной шапочкой;95.03;1000.000;;0;;;3;;0;;;;1;;0
12487;;Куриная грудка на гриле;Куриная грудка на гриле;85.08;1000.000;;0;;;3;;0;;;;1;;0
11014;;Плов из курин бедер ,зелень 300/2/2;Плов из курин бедер ,зелень 300/2/2;67.81;1000.000;;0;;;3;;0;;;;1;;0
10309;;Гуляш из говядины 75/100;Гуляш из говядины 75/100;90.45;1000.000;;0;;;3;;0;;;;1;;0
10511;;Колбаски  на гриле "Шашлычные";Колбаски  на гриле "Шашлычные";52.07;1000.000;;0;;;3;;0;;;;1;;0
11854;;Эскалоп 100гр (корейка);Эскалоп 100гр (корейка);100.85;1000.000;;0;;;3;;0;;;;1;;0
10835;;Пельмени отварные (мясо говядина).с томтат.сметан.;Пельмени отварные (мясо говядина).с томтат.сметан.;68.19;1000.000;;0;;;3;;0;;;;1;;0
11892;;Биточки по -селянски;Биточки по -селянски;58.32;1000.000;;0;;;3;;0;;;;1;;0
11221;;Рыба жареная в яйце (телапия.мука) 100гр;Рыба жареная в яйце (телапия.мука) 100гр;127.21;1000.000;;0;;;3;;0;;;;1;;0
12573;;Курник  120гр;Курник  120гр;34.21;1000.000;;0;;;3;;0;;;;1;;0
11710;;Уч почмак 85гр! (картоф.говядина.лук мука.яйцо);Уч почмак 85гр! (картоф.говядина.лук мука.яйцо);23.57;1000.000;;0;;;3;;0;;;;1;;0
11952;;Пирожки жареные с капустой 100гр;Пирожки жареные с капустой 100гр;13.49;1000.000;;0;;;3;;0;;;;1;;0
12744;;Лаваш "Аппетитный" 250гр;Лаваш "Аппетитный" 250гр;62.03;1000.000;;0;;;3;;0;;;;1;;0
11001;;Пицца 90гр;Пицца 90гр;33.65;1000.000;;0;;;3;;0;;;;1;;0
11541;;Сосиска в тесте;Сосиска в тесте;30.33;1000.000;;0;;;3;;0;;;;1;;0
12054;;Булочка к чаю с орехами;Булочка к чаю с орехами;20.01;1000.000;;0;;;3;;0;;;;1;;0
11486;;Сдоба майская;Сдоба майская;7.70;1000.000;;0;;;3;;0;;;;1;;0
11954;;Кекс "Сливочный" 75г;Кекс "Сливочный" 75г;16.08;1000.000;;0;;;3;;0;;;;1;;0
11577;;Сочни с творогом 110гр;Сочни с творогом 110гр;23.31;1000.000;;0;;;3;;0;;;;1;;0
10542;;Корзиночка песочная с кремом-брюле;Корзиночка песочная с кремом-брюле;22.42;1000.000;;0;;;3;;0;;;;1;;0
12628;;Пирог вишневый песочный 100гр;Пирог вишневый песочный 100гр;32.03;1000.000;;0;;;3;;0;;;;1;;0
10465;;Каша перловая с овощами 200г;Каша перловая с овощами 200г;15.95;1000.000;;0;;;3;;0;;;;1;;0
11894;;Рагу из овощей 155;Рагу из овощей 155;25.79;1000.000;;0;;;3;;0;;;;1;;0
11543;;Сосиски отварные 100гр;Сосиски отварные 100гр;52.74;1000.000;;0;;;3;;0;;;;1;;0
